"","Sample_ID","Date_Time","Altitude","GPS_acc","Site","Collected","Species","Easting","Northing","optional"
"1","Cleared0001",2016-06-04 15:15:00,538.9,2.9,"9A1","yes","moose",570345.383446107,4847943.0023324,TRUE
"2","Cleared0002",2016-06-04 15:28:00,557.4,1.2,"9A1","yes","moose",570321.828961536,4847887.21545959,TRUE
"3","Cleared0003",2016-06-04 15:33:00,552.8,1.1,"9A1","yes","moose",570313.313221955,4847931.55617503,TRUE
"4","Cleared0004",2016-06-04 15:37:00,547.5,1.3,"9A1","yes","moose",570313.430426124,4847920.44976532,TRUE
"5","Cleared0005",2016-06-04 15:47:00,538.2,1.2,"9A1","yes","moose",570296.985125588,4847953.59917955,TRUE
"6","Cleared0006",2016-06-04 15:52:00,538.8,1.2,"9A1","yes","moose",570297.102303357,4847942.49276949,TRUE
"7","Cleared0007",2016-06-04 16:00:00,541,1.1,"9A1","yes","moose",570329.289731819,4847942.83243922,TRUE
"8","Cleared0008",2016-06-04 17:11:00,536.7,1.2,"9A1","yes","moose",570046.131816587,4848084.24894246,TRUE
"9","Cleared0009",2016-06-04 17:17:00,547.5,1.2,"9A1","yes","moose",570029.921713953,4848095.18618031,TRUE
"10","Cleared0010",2016-06-04 17:24:00,530,0.9,"9A1","yes","moose",569981.991671748,4848061.35965523,TRUE
"11","Cleared0011",2016-06-04 17:24:00,530.8,0.9,"9A1","yes","moose",569981.875014821,4848072.46606688,TRUE
"12","Cleared0012",2016-06-04 18:10:00,585,1.4,"9A1","yes","moose",569762.381340306,4847514.78301241,TRUE
"13","Cleared0013",2016-06-07 13:23:00,494.9,1.5,"10A2","yes","moose",574193.10401365,4870156.29092131,TRUE
"14","Cleared0014",2016-06-15 08:34:00,543.5,0.9,"12B2","no","moose",584257.968548405,4943975.78081397,TRUE
"15","Cleared0015",2016-06-15 08:41:00,541,0.9,"12B2","no","moose",584257.823782466,4943986.88887841,TRUE
"16","Cleared0016",2016-06-15 08:45:00,545,1.4,"12B2","no","moose",584250.038373896,4943975.67746887,TRUE
"17","Cleared0017",2016-06-15 08:51:00,546.3,0.9,"12B2","no","moose",584257.534249812,4944009.10500786,TRUE
"18","Cleared0018",2016-06-15 09:05:00,547,1,"12B2","no","moose",584138.726807855,4943996.44778786,TRUE
"19","Cleared0019",2016-06-15 09:12:00,535.4,1.2,"12B2","no","moose",584130.073916059,4944051.88491425,TRUE
"20","Cleared0020",2016-06-15 09:13:00,538.6,1,"12B2","no","moose",584122.143837005,4944051.78172478,TRUE
"21","Cleared0021",2016-06-15 09:19:00,548.6,1,"12B2","no","moose",584106.283678907,4944051.57537502,TRUE
"22","Cleared0022",2016-06-15 09:25:00,547.4,1,"12B2","no","moose",584065.766635868,4944117.70806755,TRUE
"23","Cleared0023",2016-06-15 09:28:00,548.6,1.8,"12B2","no","moose",584073.696633126,4944117.81118895,TRUE
"24","Cleared0024",2016-06-15 09:30:00,550,1.1,"12B2","no","moose",584073.841088708,4944106.70312236,TRUE
"25","Cleared0025",2016-06-15 09:33:00,552.7,1.4,"12B2","no","moose",584073.841088708,4944106.70312236,TRUE
"26","Cleared0026",2016-06-15 09:37:00,524.6,2.4,"12B2","no","moose",584065.622193656,4944128.81613433,TRUE
"27","Cleared0027",2016-06-15 09:41:00,546,1.5,"12B2","no","moose",584058.269922819,4944084.28075672,TRUE
"28","Cleared0028",2016-06-15 09:48:00,561.2,0.9,"12B2","no","moose",584002.615323526,4944094.66731373,TRUE
"29","Cleared0029",2016-06-15 09:50:00,564.6,1.1,"12B2","no","moose",583994.685299044,4944094.56427991,TRUE
