"Day","Time","Round","Species","Latitude","Longitude","Accuracy","Site"
2017-06-11,"6:25:00 PM","Clearing","Moose",43.77721333,-74.13308,0.8,"09A1"
2017-06-11,"4:38:00 PM","Clearing","Moose",43.77759333,-74.12705167,0.8,"09A1"
2017-06-11,"5:38:00 PM","Clearing","Moose",43.78209667,-74.13260333,1,"09A1"
2017-06-11,"4:33:00 PM","Clearing","Moose",43.776845,-74.12717667,0.8,"09A1"
2017-06-11,"6:19:00 PM","Clearing","Moose",43.77730833,-74.13331667,0.8,"09A1"
2017-06-11,"6:27:00 PM","Clearing","Moose",43.77697667,-74.13298167,1.1,"09A1"
2017-06-11,"6:23:00 PM","Clearing","Moose",43.77725167,-74.13315333,0.8,"09A1"
2017-06-11,"6:03:00 PM","Clearing","Moose",43.77889,-74.13452167,1.2,"09A1"
2017-06-11,"5:09:00 PM","Clearing","Moose",43.78281667,-74.127115,0.9,"09A1"
2017-06-11,"6:17:00 PM","Clearing","Moose",43.77734,-74.13329167,0.9,"09A1"
2017-06-11,"6:15:00 PM","Clearing","Moose",43.77743167,-74.13339167,1,"09A1"
2017-06-11,"5:30:00 PM","Clearing","Moose",43.78251667,-74.130215,1.1,"09A1"
2017-06-11,"6:11:00 PM","Clearing","Moose",43.77761167,-74.13351833,0.9,"09A1"
2017-06-11,"12:28:00 PM","Clearing","Moose",43.78117833,-74.17957833,0.9,"09A3"
2017-06-11,"11:54:00 AM","Clearing","Moose",43.78171833,-74.1811,0.9,"09A3"
2017-06-11,"2:56:00 PM","Clearing","Moose",43.78055,-74.177905,1.1,"09A3"
2017-06-11,"8:24:00 AM","Clearing","Moose",43.77973167,-74.17587667,0.9,"09A3"
2017-06-11,"5:22:00 AM","Clearing","Moose",43.76723833,-74.15129167,0.9,"09A4"
2017-06-11,"6:29:00 AM","Clearing","Moose",43.77243167,-74.15157833,0.9,"09A4"
2017-06-11,"6:32:00 AM","Clearing","Moose",43.77243333,-74.15158,1,"09A4"
2017-06-11,"6:38:00 AM","Clearing","Moose",43.77269,-74.15202667,1.1,"09A4"
2017-06-11,"6:41:00 AM","Clearing","Moose",43.77267167,-74.15209333,1,"09A4"
2017-06-11,"6:50:00 AM","Clearing","Moose",43.77274,-74.15214,1.1,"09A4"
2017-06-11,"6:53:00 AM","Clearing","Moose",43.77276833,-74.15213667,1,"09A4"
2017-06-11,"6:56:00 AM","Clearing","Moose",43.772905,-74.15199667,0.9,"09A4"
2017-06-11,"7:00:00 AM","Clearing","Moose",43.77287667,-74.15228,0.8,"09A4"
2017-06-11,"7:03:00 AM","Clearing","Moose",43.77294,-74.15235833,0.8,"09A4"
2017-06-11,"7:11:00 AM","Clearing","Moose",43.77289667,-74.15263833,0.9,"09A4"
2017-06-11,"7:15:00 AM","Clearing","Moose",43.77289167,-74.15256833,0.9,"09A4"
2017-06-11,"7:17:00 AM","Clearing","Moose",43.77283667,-74.15258167,0.9,"09A4"
2017-06-11,"7:19:00 AM","Clearing","Moose",43.77284833,-74.15275833,0.8,"09A4"
2017-06-11,"7:23:00 AM","Clearing","Moose",43.77305,-74.15283167,0.9,"09A4"
2017-06-11,"7:29:00 AM","Clearing","Moose",43.77331167,-74.15309,0.9,"09A4"
2017-06-11,"7:32:00 AM","Clearing","Moose",43.77335833,-74.15353333,0.9,"09A4"
2017-06-11,"7:38:00 AM","Clearing","Moose",43.77334667,-74.153835,1.4,"09A4"
2017-06-11,"7:42:00 AM","Clearing","Moose",43.77350667,-74.15444333,1.2,"09A4"
2017-06-11,"7:49:00 AM","Clearing","Moose",43.77364167,-74.15457833,1.3,"09A4"
2017-06-11,"7:50:00 AM","Clearing","Moose",43.773575,-74.15469667,1.3,"09A4"
