"","Date_Time","Start_Weather","Start_Weather_Notes","Start_Temperature","Start_Humidity","Start_Wind","Start_Direction","Transect_ID","Handler","Dog","Other_Teams","Start_Point.Latitude","Start_Point.Longitude","Start_Point.Altitude","Start_Point.Accuracy","End_Time","End_Point.Latitude","End_Point.Longitude","End_Point.Altitude","End_Point.Accuracy","End_Weather","End_Weather.Notes","End_Temperature","End_Humidity","End_Wind","End_Direction","Moose_Range","Moose_Count","Fisher_Range","Fisher_Count","BlackBear_Range","BlackBear_Count","notes"
"1","6/1/2016 08:39","N/A","N/A","N/A","N/A","N/A","N/A","11A3","Suzie","Skye","No",44.3378,-74.2656,491.5,"1.9","12:44","44.340187","-74.271822","514","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W01-W10",10,"B01",1,"Orange flag marks parking in curve in road...took 10min to find start. End point pulled from Dog Tracklog"
"2","6/1/2016 08:53","N/A","N/A","N/A","N/A","N/A","N/A","11B3","Jennifer","Scooby","No",44.28108,-74.1936,508.4,"4","12:05","44.277033","-74.187932","537.6248","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W500-507, no W502",7,"B500",1,"End point pulled from dog tracklog"
"3","6/1/2016 09:23","N/A","N/A","N/A","N/A","N/A","N/A","11B1","Justin","Ranger","No",44.24235,-74.0625,617.6,"2","11:10","44.240764","-74.062834","631","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"N/A",0,"N/A",0,""
"4","6/1/2016 12:46","N/A","N/A","N/A","N/A","N/A","N/A","11A2","Jennifer","Scooby","No",44.32993,-74.2171,527.8,"5","15:46","44.326011","-74.223298","570.5856","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W508-W511",4,"N/A",0,"End point pulled from dog tracklog"
"5","6/1/2016 13:48","N/A","N/A","N/A","N/A","N/A","N/A","11A1","Suzie","Skye","No",44.3699,-74.2193,461.4,"1.1","16:48","44.366468","-74.215443","510","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W11",1,"N/A",0,"Took 20 min to find start, End point pulled from Dog Tracklog"
"6","6/1/2016 13:59","N/A","N/A","N/A","N/A","N/A","N/A","11B2","Justin","Ranger","No",44.28584,-74.1021,472.9,"2.75","15:17","44.285798","-74.100256","485","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W1000",1,"N/A",0,""
"7","6/2/2016 08:03","N/A","N/A","N/A","N/A","N/A","N/A","01B3","Jennifer","Scooby","No",43.40135,-74.8765,467.8,"4","11:27","43.404645","-74883205","533.7048","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W512-W514",3,"B501-b508",8,"End point pulled from dog tracklog"
"8","6/2/2016 09:17","N/A","N/A","N/A","N/A","N/A","N/A","04B1","Justin","Ranger","No",43.40704,-74.5648,518.1,"2.25","13:08","43.407357","-74.566694","548.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"N/A",0,"B1000-B1005",6,""
"9","6/2/2016 11:21","N/A","N/A","N/A","N/A","N/A","N/A","01B2","Suzie","Skye","No",43.3894,-74.8386,483.1,"1.4","14:25","43.38641","-74.828094","511","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W12-W18",7,"N/A",0,"Lost endpoint. End point pulled from Dog Tracklog"
"10","6/2/2016 12:25","N/A","N/A","N/A","N/A","N/A","N/A","01B1","Jennifer","Scooby","No",43.42083,-74.8365,440.4,"5","15:00","43.420027","-74.844357","527.9136","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,"W515-518, no w516",3,"B509- B511",3,"Layer on phone does not match flagged transect so start point does not match. End point pulled from dog tracklog"
